-7,6,-4,-3,0,1,-2,-4
3,-9,-4,6,-1,-4,-1,3
3,11,-1,-14,-14,-21,-8,-2
-2,12,-1,3,4,20,1,-3
2,6,-2,0,1,-2,0,1
-8,-8,-1,-1,-4,-9,-6,-7
-5,-9,-5,-5,-3,4,0,0
23,-16,-7,2,3,-9,0,3
-17,1,4,3,3,-2,2,0
-13,-6,1,0,-8,-5,-5,-7
-2,5,6,-3,-1,1,3,2
8,7,0,13,17,3,6,4
14,6,-4,-7,-5,1,-1,0
-17,-6,4,2,2,-7,-7,-4
-2,3,-4,-4,-5,-1,-4,-4
-3,-7,-9,-14,-16,-4,-1,2
3,10,2,7,14,6,-1,-3
10,-12,-4,2,4,0,0,3
-1,22,9,4,6,4,4,1
-6,-1,-1,1,-4,-5,-2,-3
-3,-1,-6,-6,-9,-7,-2,1
11,13,-6,-3,-5,-2,-3,-2
-3,-12,0,0,2,3,1,1
-2,-1,-1,1,-1,-4,-2,-4
4,22,1,-5,-6,0,-1,3
1,-1,3,-4,-1,6,5,-1
3,2,6,13,16,4,0,2
-5,6,-1,2,2,-1,-1,-1
12,1,-1,-3,-6,0,-1,3
-13,-39,-8,-3,-6,-4,-3,0
17,25,3,-3,-5,0,0,-6
-5,26,7,1,2,2,2,-3
-4,-2,-1,-6,-4,0,-1,-2
-2,8,1,3,2,-1,-1,-2
-4,-15,-6,-5,-6,-6,-3,-1
2,-15,-6,1,3,-1,-2,-2
1,11,2,-3,-1,0,-1,0
0,6,-2,1,1,-2,0,1
-7,-16,3,5,0,-7,-6,-3
4,5,4,0,-6,3,4,3
-7,-13,-7,-10,-2,-2,-2,0
-2,3,-3,12,21,9,5,0
-3,-1,2,4,2,2,0,4
-6,-7,-3,-1,-5,-6,-3,-2
4,4,11,2,-5,-4,-2,-1
5,-1,-15,-9,-9,-3,-5,0
2,36,3,-4,-1,3,3,-2
-5,-4,1,0,0,1,-2,-2
-6,-10,-5,-2,-3,-1,-1,-2
-5,8,8,1,1,-1,-1,-1
-3,-11,-5,1,-1,0,-1,2
2,-8,-6,-2,0,-1,0,2
-4,-6,-22,-9,-4,-4,-3,-4
3,12,9,0,0,-1,-3,-1
-5,-11,-18,-8,-4,-1,-1,0
-2,0,3,3,0,-1,-1,-2
1,-6,0,3,3,2,1,1
-1,-5,6,3,0,1,1,-2
-2,-8,8,-3,-4,-3,-1,-3
-3,-6,0,2,1,-2,0,-1
-2,-1,0,-4,-3,1,0,-1
2,1,-6,-4,-3,-1,-2,-1
-3,-5,-1,-3,-1,0,0,-2
0,-2,-2,-1,0,-2,0,0
0,2,0,4,-1,-1,-1,-2
1,-5,5,0,0,0,-1,-1
-1,-10,0,-2,0,0,2,1
-3,-1,-16,-7,-3,-3,-2,-1
0,3,1,0,-1,-2,-1,0
-1,3,3,1,-1,0,1,-1
-1,-4,2,1,-3,0,0,-1
-1,-3,6,-2,-2,0,-1,-1
0,2,2,2,0,-2,-1,1
0,1,-5,0,-1,0,-1,-1
-1,-5,-2,-3,0,-1,-1,-2
0,1,1,1,0,0,-2,-1
-1,0,-2,0,-1,-1,2,-2
-2,-2,-3,0,0,0,-2,-2
-2,-1,0,-3,-3,-3,-1,0
1,3,-4,-2,-1,-1,-1,0
0,-1,1,0,-1,-2,-2,-1
-4,-4,-4,-4,-3,-1,1,-1
-1,-1,-3,-2,-1,0,-3,-2
2,0,3,1,1,-1,-1,0
-1,-1,1,-2,0,0,0,-1
0,2,0,1,-1,2,-1,-1
-1,-3,-3,-1,2,1,-1,1
-2,0,0,-3,-2,-2,1,1
